KE_ID,MESH_ID
https://identifiers.org/aop.events/477,http://id.nlm.nih.gov/mesh/D007662
https://identifiers.org/aop.events/505,http://id.nlm.nih.gov/mesh/D005298
https://identifiers.org/aop.events/520,http://id.nlm.nih.gov/mesh/D005298
https://identifiers.org/aop.events/527,http://id.nlm.nih.gov/mesh/D005298
https://identifiers.org/aop.events/527,http://id.nlm.nih.gov/mesh/D005298
https://identifiers.org/aop.events/530,http://id.nlm.nih.gov/mesh/D007987
https://identifiers.org/aop.events/543,http://id.nlm.nih.gov/mesh/D005298
https://identifiers.org/aop.events/563,http://id.nlm.nih.gov/mesh/D056631
https://identifiers.org/aop.events/573,http://id.nlm.nih.gov/mesh/D013312
https://identifiers.org/aop.events/574,http://id.nlm.nih.gov/mesh/D001066
https://identifiers.org/aop.events/591,http://id.nlm.nih.gov/mesh/C565682
https://identifiers.org/aop.events/634,http://id.nlm.nih.gov/mesh/D000758
https://identifiers.org/aop.events/661,http://id.nlm.nih.gov/mesh/D005326
https://identifiers.org/aop.events/673,http://id.nlm.nih.gov/mesh/D005298
https://identifiers.org/aop.events/689,http://id.nlm.nih.gov/mesh/D007987
https://identifiers.org/aop.events/814,http://id.nlm.nih.gov/mesh/Q000633
https://identifiers.org/aop.events/854,http://id.nlm.nih.gov/mesh/D006965
https://identifiers.org/aop.events/854,http://id.nlm.nih.gov/mesh/D006965
https://identifiers.org/aop.events/856,http://id.nlm.nih.gov/mesh/D006528
https://identifiers.org/aop.events/856,http://id.nlm.nih.gov/mesh/D001650
https://identifiers.org/aop.events/861,http://id.nlm.nih.gov/mesh/D007662
https://identifiers.org/aop.events/699,http://id.nlm.nih.gov/mesh/D001145
https://identifiers.org/aop.events/713,http://id.nlm.nih.gov/mesh/D000236
https://identifiers.org/aop.events/713,http://id.nlm.nih.gov/mesh/D000236
https://identifiers.org/aop.events/713,http://id.nlm.nih.gov/mesh/D002292
https://identifiers.org/aop.events/713,http://id.nlm.nih.gov/mesh/D002277
https://identifiers.org/aop.events/719,http://id.nlm.nih.gov/mesh/D002277
https://identifiers.org/aop.events/719,http://id.nlm.nih.gov/mesh/D006528
https://identifiers.org/aop.events/719,http://id.nlm.nih.gov/mesh/D000236
https://identifiers.org/aop.events/719,http://id.nlm.nih.gov/mesh/D000236
https://identifiers.org/aop.events/735,http://id.nlm.nih.gov/mesh/D006965
https://identifiers.org/aop.events/736,http://id.nlm.nih.gov/mesh/D000236
https://identifiers.org/aop.events/736,http://id.nlm.nih.gov/mesh/D002277
https://identifiers.org/aop.events/739,http://id.nlm.nih.gov/mesh/D006984
https://identifiers.org/aop.events/740,http://id.nlm.nih.gov/mesh/D006965
https://identifiers.org/aop.events/741,http://id.nlm.nih.gov/mesh/D000236
https://identifiers.org/aop.events/741,http://id.nlm.nih.gov/mesh/D002277
https://identifiers.org/aop.events/767,http://id.nlm.nih.gov/mesh/D006965
https://identifiers.org/aop.events/773,http://id.nlm.nih.gov/mesh/D000236
https://identifiers.org/aop.events/773,http://id.nlm.nih.gov/mesh/D002277
https://identifiers.org/aop.events/779,http://id.nlm.nih.gov/mesh/D002277
https://identifiers.org/aop.events/779,http://id.nlm.nih.gov/mesh/D010212
https://identifiers.org/aop.events/793,http://id.nlm.nih.gov/mesh/D002137
https://identifiers.org/aop.events/796,http://id.nlm.nih.gov/mesh/D006965
https://identifiers.org/aop.events/797,http://id.nlm.nih.gov/mesh/D000236
https://identifiers.org/aop.events/797,http://id.nlm.nih.gov/mesh/D002277
https://identifiers.org/aop.events/798,http://id.nlm.nih.gov/mesh/D064828
https://identifiers.org/aop.events/823,http://id.nlm.nih.gov/mesh/D004106
https://identifiers.org/aop.events/863,http://id.nlm.nih.gov/mesh/D009124
https://identifiers.org/aop.events/889,http://id.nlm.nih.gov/mesh/D057165
https://identifiers.org/aop.events/896,http://id.nlm.nih.gov/mesh/D020734
https://identifiers.org/aop.events/1068,http://id.nlm.nih.gov/mesh/D008679
https://identifiers.org/aop.events/1070,http://id.nlm.nih.gov/mesh/D018196
https://identifiers.org/aop.events/772,http://id.nlm.nih.gov/mesh/D006965
https://identifiers.org/aop.events/868,http://id.nlm.nih.gov/mesh/D001284
https://identifiers.org/aop.events/869,http://id.nlm.nih.gov/mesh/D008679
https://identifiers.org/aop.events/876,http://id.nlm.nih.gov/mesh/D009154
https://identifiers.org/aop.events/885,http://id.nlm.nih.gov/mesh/D009369
https://identifiers.org/aop.events/947,http://id.nlm.nih.gov/mesh/D009026
https://identifiers.org/aop.events/969,http://id.nlm.nih.gov/mesh/D007987
